x,y,z,,
-0.0708115,0.00065315,1.01E-07,,
-0.0723156,0.00064341,1.60E-07,,
-0.0738159,0.000659784,3.18E-07,,
-0.0753203,0.000650764,3.81E-07,,
-0.0768189,0.000635711,3.63E-07,,
-0.0783233,0.000629347,4.22E-07,,
-0.0798258,0.000609705,3.93E-07,,
-0.0813278,5.95E-04,3.71E-07,,
-0.0828309,6.22E-04,3.17E-07,,
-0.084334,5.99E-04,2.64E-07,,
-0.0858353,5.99E-04,2.12E-07,,
-0.0873398,5.83E-04,9.88E-08,,
-0.0888399,5.83E-04,1.11E-07,,
-0.0903424,0.000587929,9.75E-08,,
-0.0918427,0.000569485,8.02E-08,,
-0.0933483,0.000580704,1.36E-07,,
-0.0948485,0.000573982,2.42E-07,,
-0.0963513,0.000580277,2.20E-07,,
-0.0978553,0.000570627,1.16E-07,,
-0.0993582,0.000566438,1.68E-07,,
-0.10086,0.000552338,1.33E-07,,
-0.102362,0.000554187,7.11E-08,,
-0.103863,0.000551213,1.16E-07,,
-0.10537,0.000556327,1.64E-07,,
-0.106869,0.00053612,1.58E-07,,
-0.10837,0.000528568,1.47E-07,,
-0.109869,0.000535056,1.70E-07,,
-0.111376,0.000539888,2.24E-07,,
-0.112878,0.00054162,2.29E-07,,
-0.114376,0.000537198,2.21E-07,,
-0.115881,0.000529319,1.56E-07,,
-0.117382,0.000531353,1.10E-07,,
-0.118883,0.000531705,1.02E-07,,
-0.120386,0.000521921,1.46E-08,,
-0.121889,0.000525791,-6.89E-09,,
-0.123393,0.000525754,-2.84E-08,,
-0.124895,0.000536209,-4.84E-08,,
-0.126399,0.000504613,-1.09E-08,,
-0.127903,0.000511099,-3.45E-08,,
-0.129407,0.000496879,-4.56E-08,,
-0.130907,5.04E-04,1.35E-09,,
-0.132409,4.90E-04,5.99E-08,,
-0.133911,4.82E-04,8.34E-09,,
-0.135412,4.82E-04,-3.81E-08,,
-0.136917,5.02E-04,1.48E-07,,
-0.138417,4.89E-04,1.98E-07,,
-0.139919,0.000492685,9.16E-08,,
-0.141419,0.00048941,2.09E-07,,
-0.142921,0.000488928,1.23E-07,,
-0.144424,0.000478618,1.16E-07,,
-0.14593,0.000496898,1.31E-07,,
-0.147433,0.000494719,4.38E-08,,
-0.148935,0.000496089,6.95E-08,,
-0.15044,0.000490414,9.01E-08,,
-0.151941,0.000481386,7.69E-08,,
-0.153443,0.0004768,7.43E-08,,
-0.154944,0.000478473,9.07E-08,,
-0.156448,0.000474101,4.98E-08,,
-0.157948,0.000476193,3.39E-08,,
-0.159452,0.00047956,4.36E-09,,
-0.160953,0.000499915,5.43E-09,,
-0.162455,0.000488875,-2.48E-08,,
-0.163962,0.000484409,-3.09E-08,,
-0.16546,0.000489458,-6.05E-08,,
-0.166963,0.000504926,-4.93E-08,,
-0.168462,0.000498783,1.54E-08,,
-0.169965,0.000500455,3.38E-09,,
-0.171467,0.000510234,1.19E-08,,
-0.172965,0.000512004,5.07E-09,,
-0.17447,0.000483818,6.49E-09,,
-0.175973,0.000455491,5.91E-09,,
-0.177474,0.000471732,4.18E-09,,
-0.178976,0.000475045,4.32E-09,,
-0.180474,0.000478005,1.97E-09,,
-0.181976,0.000480156,4.49E-09,,
-0.18348,0.000494806,2.57E-09,,
-0.184983,0.000488516,2.44E-09,,
-0.186486,0.000483003,6.42E-10,,
-0.187985,0.000494137,-1.55E-10,,
-0.189485,0.000493906,1.87E-10,,
-0.19099,0.000509687,-6.91E-10,,
-0.192489,0.000491213,-1.98E-10,,
-0.193992,0.000504501,-2.93E-10,,
-0.195495,0.000508709,3.15E-10,,
-0.196996,0.00050211,-4.17E-10,,
-0.198499,0.000501145,2.07E-10,,
-1.98E-01,0.000501338,0.003175,,
-0.196996,0.000502117,0.003175,,
-0.195494,0.000508545,0.003175,,
-0.193991,0.000504958,0.00317501,,
-0.19249,0.000491166,0.00317501,,
-0.190988,0.000509256,0.00317502,,
-0.189486,0.000493865,0.00317502,,
-0.187983,0.000494031,0.00317503,,
-0.186482,0.000482701,0.00317504,,
-0.184979,0.000488617,0.00317506,,
-0.183476,0.000493854,0.00317507,,
-0.181974,0.000480089,0.00317509,,
-0.180473,0.000477809,0.00317511,,
-0.178972,0.000475613,0.00317513,,
-0.17747,0.000471096,0.00317516,,
-0.175972,0.000455109,0.0031752,,
-0.174466,0.000483111,0.00317525,,
-0.172963,0.00051146,0.00317532,,
-0.171463,0.00050785,0.00317542,,
-0.169963,0.000498135,0.00317558,,
-0.168463,0.000494219,0.00317586,,
-0.166964,0.000499111,0.0031763,,
-0.165458,0.000480223,0.00317674,,
-0.163958,0.000476349,0.00317702,,
-0.162454,0.000481378,0.00317715,,
-0.160954,0.000493636,0.00317716,,
-0.159454,0.000472959,0.0031771,,
-0.15795,0.000470979,0.00317702,,
-0.156448,0.000468651,0.00317695,,
-0.154946,0.00047362,0.00317691,,
-0.153444,0.000473188,0.00317689,,
-0.151942,0.000477742,0.00317687,,
-0.150439,0.000487115,0.00317685,,
-0.148939,0.000492621,0.00317682,,
-0.147434,0.000492882,0.0031768,,
-0.145929,0.000494551,0.0031768,,
-0.144426,0.000476262,0.00317681,,
-0.142923,0.00048599,0.00317681,,
-0.14142,0.000486605,0.00317679,,
-0.139916,0.000490502,0.00317677,,
-0.138414,0.000485744,0.00317675,,
-0.136916,0.000499608,0.00317672,,
-0.135412,0.000481732,0.00317669,,
-0.133911,0.000480277,0.00317666,,
-0.132409,0.000487307,0.00317662,,
-0.130906,0.000501348,0.00317658,,
-0.129404,0.000494963,0.00317654,,
-0.1279,0.000508316,0.00317654,,
-0.126399,0.000503372,0.00317654,,
-0.124898,0.000533886,0.00317652,,
-0.123393,0.00052496,0.0031765,,
-0.12189,0.000523582,0.00317651,,
-0.120386,0.000520818,0.00317653,,
-0.118883,0.000532221,0.00317654,,
-0.117381,0.000530751,0.00317655,,
-0.115881,0.000527464,0.00317655,,
-0.114381,0.000534587,0.00317654,,
-0.112879,0.000540812,0.00317652,,
-0.111378,0.000538904,0.0031765,,
-0.109876,0.000533635,0.00317648,,
-0.108372,0.000527674,0.00317648,,
-0.106875,0.000533819,0.0031765,,
-0.105372,0.000554997,0.0031765,,
-0.10387,0.000548188,0.00317649,,
-0.102366,0.000553485,0.00317648,,
-0.100863,0.000551347,0.00317649,,
-0.0993653,0.000563655,0.0031765,,
-0.0978612,0.00056966,0.0031765,,
-0.0963559,0.00057791,0.0031765,,
-0.0948546,0.000574397,0.00317648,,
-0.0933505,0.000579808,0.00317646,,
-0.0918478,0.000568731,0.00317646,,
-0.0903468,0.000587966,0.00317647,,
-0.0888435,0.000582371,0.00317648,,
-0.0873402,0.000581872,0.0031765,,
-0.0858383,0.000597656,0.00317651,,
-0.0843352,0.000598785,0.0031765,,
-0.0828326,0.000622321,0.00317647,,
-0.0813303,0.000594564,0.00317644,,
-0.0798271,0.000607304,0.00317643,,
-0.0783233,0.000627428,0.00317643,,
-0.0768233,0.000635155,0.00317644,,
-0.0753213,0.000649452,0.00317645,,
-0.0738175,0.000657838,0.00317646,,
-0.0723159,0.000641443,0.00317649,,
-0.0708145,0.000650167,0.00317652,,
-0.0693103,0.000672672,0.00317654,,
-0.0678092,0.000678623,0.00317656,,
-0.0663079,0.000702795,0.00317657,,
-0.0648051,0.000673532,0.00317657,,
-0.0633011,0.000683222,0.00317657,,
-0.0617983,0.000706349,0.00317655,,
-0.0602946,0.00072303,0.00317653,,
-0.0587941,0.000723105,0.00317654,,
-0.057293,0.000741985,0.00317654,,
-0.0557894,0.000731222,0.00317653,,
-0.0542846,0.000734854,0.0031765,,
-0.0527851,0.000753656,0.00317647,,
-0.051282,0.000771904,0.00317647,,
-0.0497813,0.000784576,0.00317649,,
-0.0482783,0.000801884,0.00317651,,
-0.0467764,0.000813581,0.00317654,,
-0.045274,0.000806497,0.00317658,,
-0.0437716,0.000814933,0.00317663,,
-0.0422668,0.000822179,0.00317668,,
-0.0407669,0.000836086,0.00317673,,
-0.0392632,0.000852348,0.00317677,,
-0.0377629,0.000869134,0.0031768,,
-0.0362611,0.000886682,0.00317681,,
-0.0347583,0.000894284,0.00317679,,
-0.0332562,0.000901334,0.00317676,,
-0.0317528,0.000915861,0.00317673,,
-0.0302526,0.000927852,0.00317671,,
-0.0287479,0.000948589,0.0031767,,
-0.0272455,0.000960961,0.00317672,,
-0.025746,0.000995375,0.00317675,,
-0.0242416,0.00100331,0.00317678,,
-0.0227389,0.00100712,0.00317682,,
-0.0212355,0.00102806,0.00317688,,
-0.0197351,1.05E-03,0.00317693,,
-0.0182316,1.05E-03,0.00317699,,
-0.0167294,1.07E-03,0.00317702,,
-0.0152275,1.09E-03,0.00317707,,
-0.013725,1.13E-03,0.00317712,,
-0.012222,1.12E-03,0.00317723,,
-0.0107203,0.00114454,0.00317738,,
-0.00921909,0.00117156,0.00317762,,
-0.00771665,0.00119211,0.00317793,,
-0.00621551,0.00122339,0.00317847,,
